index,uuid,date,collar,messagetype,latitude,longitude,trackingState,headingReportingEnabled,headingManagementEnabled,soundDisabled,shockDisabled,soundSuspended,shockSuspended,soundEvent,shockEvent,shockCount,soundCount,shockCountAttempts,soundCountAttempts,shockCountApplied,soundCountApplied,shockCountSuspend,soundCountSuspend,shockCountCumulative,currVoltageMv,lastTxVoltageMv,lastShockVoltageMv,mmuTempDegC,mcuTempDegC,reliable,more,sequence,accuracy
19,3f57dc16-8def-4f54-9edb-ae6518c907ea,2021-07-10 06:00:31+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9410436,-101.8446381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,70
186,572c35bb-4115-4e0e-9bbd-fe2f758549d8,2021-07-10 06:05:31+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9409269,-101.8443856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,1
346,49bab472-bf48-4ed5-9e80-50f7c4f88c94,2021-07-10 06:10:31+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9408162,-101.8439182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,2
506,41fa958f-6551-4a4f-94a3-1f5ce33845ee,2021-07-10 06:15:31+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9407469,-101.844098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,4
670,adf807f7-8262-4659-88f8-a312a0fa2f71,2021-07-10 06:20:31+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9408312,-101.8444524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,4
831,79199701-2f17-4fa4-ae3a-2058efde0018,2021-07-10 06:25:32+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.940907,-101.8446184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,4
1007,5e70d588-98b9-47e0-8a06-68c3df90efcc,2021-07-10 06:30:58+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9411729,-101.8448147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,59
1234,a765ba8a-7043-4486-a7d4-136bb90c3e9e,2021-07-10 06:38:16+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.941431,-101.8454203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,31
1474,29601329-7a61-482d-90fd-f464dbed6dcb,2021-07-10 06:45:13+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9410185,-101.8447258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,11
1653,656c80f2-d5f3-4066-a62c-e03adc630b27,2021-07-10 06:50:14+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9408643,-101.8444795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,1
